tmsp,country,amount,success,psp,3d_secured,card,order_id,hour_of_day,day_of_week,fee
2019-01-01 00:01:11,Germany,89,0,UK_Card,0,Visa,1,0,1,1.0
2019-01-01 00:01:17,Germany,89,1,UK_Card,0,Visa,1,0,1,3.0
2019-01-01 00:02:49,Germany,238,0,UK_Card,1,Diners,2,0,1,1.0
2019-01-01 00:03:13,Germany,238,1,UK_Card,1,Diners,2,0,1,3.0
2019-01-01 00:04:33,Austria,124,0,Simplecard,0,Diners,3,0,1,0.5
2019-01-01 00:06:41,Switzerland,282,0,UK_Card,0,Master,4,0,1,1.0
2019-01-01 00:07:19,Switzerland,282,0,Simplecard,0,Master,4,0,1,0.5
2019-01-01 00:08:46,Germany,117,1,UK_Card,0,Master,5,0,1,3.0
2019-01-01 00:09:56,Switzerland,174,0,Simplecard,0,Visa,6,0,1,0.5
2019-01-01 00:10:49,Switzerland,174,0,Simplecard,0,Visa,6,0,1,0.5
2019-01-01 00:12:15,Austria,232,0,Simplecard,1,Diners,7,0,1,0.5
2019-01-01 00:12:52,Austria,232,0,UK_Card,1,Diners,7,0,1,1.0
2019-01-01 00:13:34,Austria,232,0,UK_Card,1,Diners,7,0,1,1.0
2019-01-01 00:13:44,Austria,232,0,UK_Card,1,Diners,7,0,1,1.0
2019-01-01 00:14:35,Austria,232,1,UK_Card,1,Diners,7,0,1,3.0
2019-01-01 00:15:45,Germany,268,0,Simplecard,0,Master,8,0,1,0.5
2019-01-01 00:18:18,Switzerland,89,0,Simplecard,0,Master,9,0,1,0.5
2019-01-01 00:18:21,Switzerland,89,0,UK_Card,0,Master,9,0,1,1.0
2019-01-01 00:18:37,Switzerland,89,0,Moneycard,0,Master,9,0,1,2.0
2019-01-01 00:20:53,Germany,205,0,UK_Card,0,Master,10,0,1,1.0
2019-01-01 00:20:56,Germany,205,0,UK_Card,0,Master,10,0,1,1.0
2019-01-01 00:21:11,Germany,205,1,Moneycard,0,Master,10,0,1,5.0
2019-01-01 00:23:48,Switzerland,111,0,Simplecard,0,Master,11,0,1,0.5
2019-01-01 00:24:41,Switzerland,111,0,UK_Card,0,Master,11,0,1,1.0
2019-01-01 00:24:55,Switzerland,111,0,UK_Card,0,Master,11,0,1,1.0
2019-01-01 00:25:47,Switzerland,111,0,UK_Card,0,Master,11,0,1,1.0
2019-01-01 00:26:07,Switzerland,111,0,UK_Card,0,Master,11,0,1,1.0
2019-01-01 00:26:50,Switzerland,111,0,UK_Card,0,Master,11,0,1,1.0
2019-01-01 00:28:56,Switzerland,277,1,Goldcard,0,Diners,12,0,1,10.0
2019-01-01 00:30:50,Switzerland,137,0,UK_Card,0,Diners,13,0,1,1.0
2019-01-01 00:32:18,Switzerland,148,0,Moneycard,0,Diners,14,0,1,2.0
2019-01-01 00:34:04,Austria,394,0,UK_Card,0,Diners,15,0,1,1.0
2019-01-01 00:34:33,Austria,394,0,UK_Card,0,Diners,15,0,1,1.0
2019-01-01 00:35:25,Austria,394,0,UK_Card,0,Diners,15,0,1,1.0
2019-01-01 00:35:34,Austria,394,1,UK_Card,0,Diners,15,0,1,3.0
2019-01-01 00:36:36,Germany,84,0,Moneycard,0,Master,16,0,1,2.0
2019-01-01 00:41:15,Austria,34,0,Moneycard,0,Visa,17,0,1,2.0
2019-01-01 00:41:25,Austria,34,0,Simplecard,0,Visa,17,0,1,0.5
2019-01-01 00:41:43,Austria,34,0,Goldcard,0,Visa,17,0,1,5.0
2019-01-01 00:44:21,Switzerland,324,0,UK_Card,0,Master,18,0,1,1.0
2019-01-01 00:46:07,Germany,251,0,UK_Card,1,Master,19,0,1,1.0
2019-01-01 00:46:34,Germany,251,0,UK_Card,1,Master,19,0,1,1.0
2019-01-01 00:47:16,Germany,251,0,UK_Card,1,Master,19,0,1,1.0
2019-01-01 00:47:39,Germany,251,0,Simplecard,1,Master,19,0,1,0.5
2019-01-01 00:51:27,Germany,100,0,UK_Card,0,Master,20,0,1,1.0
2019-01-01 00:51:38,Germany,100,0,UK_Card,0,Master,20,0,1,1.0
2019-01-01 00:52:00,Germany,100,0,UK_Card,0,Master,20,0,1,1.0
2019-01-01 00:52:04,Germany,100,0,UK_Card,0,Master,20,0,1,1.0
2019-01-01 00:52:29,Germany,100,0,Simplecard,0,Master,20,0,1,0.5
2019-01-01 00:55:23,Germany,221,0,Moneycard,0,Visa,21,0,1,2.0
2019-01-01 00:56:41,Switzerland,340,0,Simplecard,0,Diners,22,0,1,0.5
2019-01-01 00:56:57,Switzerland,340,1,UK_Card,0,Diners,22,0,1,3.0
2019-01-01 01:01:44,Germany,257,0,UK_Card,1,Master,23,1,1,1.0
2019-01-01 01:01:46,Germany,257,0,Goldcard,1,Master,23,1,1,5.0
2019-01-01 01:02:11,Germany,257,0,UK_Card,1,Master,23,1,1,1.0
2019-01-01 01:02:24,Germany,257,1,UK_Card,1,Master,23,1,1,3.0
2019-01-01 01:03:31,Switzerland,193,0,UK_Card,0,Visa,24,1,1,1.0
2019-01-01 01:04:58,Germany,36,1,Simplecard,1,Master,25,1,1,1.0
2019-01-01 01:06:03,Switzerland,146,0,Simplecard,0,Diners,26,1,1,0.5
2019-01-01 01:08:40,Germany,192,0,UK_Card,0,Master,27,1,1,1.0
2019-01-01 01:08:43,Germany,192,1,UK_Card,0,Master,27,1,1,3.0
2019-01-01 01:11:02,Germany,14,0,Moneycard,0,Master,28,1,1,2.0
2019-01-01 01:11:31,Germany,14,0,UK_Card,0,Master,28,1,1,1.0
2019-01-01 01:12:36,Germany,175,0,Moneycard,0,Visa,29,1,1,2.0
2019-01-01 01:13:02,Germany,175,0,Simplecard,0,Visa,29,1,1,0.5
2019-01-01 01:13:05,Germany,175,1,Simplecard,0,Visa,29,1,1,1.0
2019-01-01 01:14:10,Germany,270,0,Simplecard,0,Master,30,1,1,0.5
2019-01-01 01:14:59,Germany,270,0,UK_Card,0,Master,30,1,1,1.0
2019-01-01 01:17:19,Austria,256,0,UK_Card,0,Master,31,1,1,1.0
2019-01-01 01:17:30,Austria,256,0,UK_Card,0,Master,31,1,1,1.0
2019-01-01 01:18:30,Austria,256,0,UK_Card,0,Master,31,1,1,1.0
2019-01-01 01:18:37,Austria,256,1,Moneycard,0,Master,31,1,1,5.0
2019-01-01 01:19:43,Germany,310,0,Goldcard,0,Visa,32,1,1,5.0
2019-01-01 01:20:37,Germany,310,0,Simplecard,0,Visa,32,1,1,0.5
2019-01-01 01:20:51,Germany,310,0,UK_Card,0,Visa,32,1,1,1.0
2019-01-01 01:21:40,Germany,310,0,UK_Card,0,Visa,32,1,1,1.0
2019-01-01 01:21:43,Germany,310,0,Simplecard,0,Visa,32,1,1,0.5
2019-01-01 01:21:47,Germany,310,0,UK_Card,0,Visa,32,1,1,1.0
2019-01-01 01:22:11,Germany,310,1,UK_Card,0,Visa,32,1,1,3.0
2019-01-01 01:23:24,Austria,239,0,Simplecard,0,Master,33,1,1,0.5
2019-01-01 01:26:31,Germany,37,0,UK_Card,0,Master,34,1,1,1.0
2019-01-01 01:26:51,Germany,37,0,Simplecard,0,Master,34,1,1,0.5
2019-01-01 01:27:10,Germany,37,0,Moneycard,0,Master,34,1,1,2.0
2019-01-01 01:28:02,Germany,37,0,UK_Card,0,Master,34,1,1,1.0
2019-01-01 01:28:02,Germany,37,0,UK_Card,0,Master,34,1,1,1.0
2019-01-01 01:28:53,Germany,37,0,Simplecard,0,Master,34,1,1,0.5
2019-01-01 01:35:33,Germany,56,0,Simplecard,1,Visa,35,1,1,0.5
2019-01-01 01:35:55,Germany,56,0,UK_Card,1,Visa,35,1,1,1.0
2019-01-01 01:35:56,Germany,56,0,Moneycard,1,Visa,35,1,1,2.0
2019-01-01 01:36:57,Germany,192,0,Goldcard,1,Diners,36,1,1,5.0
2019-01-01 01:37:01,Germany,192,0,Simplecard,1,Diners,36,1,1,0.5
2019-01-01 01:38:15,Germany,324,0,UK_Card,0,Visa,37,1,1,1.0
2019-01-01 01:38:22,Germany,324,0,UK_Card,0,Visa,37,1,1,1.0
2019-01-01 01:38:37,Germany,324,0,UK_Card,0,Visa,37,1,1,1.0
2019-01-01 01:38:55,Germany,324,1,Simplecard,0,Visa,37,1,1,1.0
2019-01-01 01:40:49,Germany,105,0,UK_Card,0,Master,38,1,1,1.0
2019-01-01 01:41:08,Germany,105,0,Simplecard,0,Master,38,1,1,0.5
2019-01-01 01:42:01,Germany,105,0,UK_Card,0,Master,38,1,1,1.0
2019-01-01 01:42:20,Germany,105,0,Moneycard,0,Master,38,1,1,2.0
2019-01-01 01:43:15,Germany,105,0,Goldcard,0,Master,38,1,1,5.0
2019-01-01 01:44:16,Germany,228,0,UK_Card,0,Diners,39,1,1,1.0
2019-01-01 01:44:25,Germany,228,0,UK_Card,0,Diners,39,1,1,1.0
2019-01-01 01:45:17,Germany,228,1,UK_Card,0,Diners,39,1,1,3.0
2019-01-01 01:46:23,Germany,322,0,UK_Card,0,Master,40,1,1,1.0
2019-01-01 01:47:23,Germany,322,0,Moneycard,0,Master,40,1,1,2.0
2019-01-01 01:54:24,Austria,367,0,Moneycard,0,Visa,41,1,1,2.0
2019-01-01 01:55:08,Austria,367,0,UK_Card,0,Visa,41,1,1,1.0
2019-01-01 01:55:17,Austria,367,1,UK_Card,0,Visa,41,1,1,3.0
2019-01-01 01:57:28,Switzerland,190,0,UK_Card,0,Diners,42,1,1,1.0
2019-01-01 01:57:29,Switzerland,190,0,Simplecard,0,Diners,42,1,1,0.5
2019-01-01 01:58:00,Switzerland,190,0,UK_Card,0,Diners,42,1,1,1.0
2019-01-01 01:58:54,Switzerland,190,0,UK_Card,0,Diners,42,1,1,1.0
2019-01-01 01:59:14,Switzerland,190,0,UK_Card,0,Diners,42,1,1,1.0
2019-01-01 02:01:48,Germany,186,0,UK_Card,0,Master,43,2,1,1.0
2019-01-01 02:02:01,Germany,186,1,UK_Card,0,Master,43,2,1,3.0
2019-01-01 02:03:39,Germany,121,0,Moneycard,1,Master,44,2,1,2.0
2019-01-01 02:03:52,Germany,121,0,UK_Card,1,Master,44,2,1,1.0
2019-01-01 02:04:19,Germany,121,1,UK_Card,1,Master,44,2,1,3.0
2019-01-01 02:06:48,Germany,274,1,UK_Card,0,Master,45,2,1,3.0
2019-01-01 02:08:53,Germany,264,0,Simplecard,1,Master,46,2,1,0.5
2019-01-01 02:10:05,Germany,132,0,UK_Card,0,Master,47,2,1,1.0
2019-01-01 02:10:07,Germany,132,0,Simplecard,0,Master,47,2,1,0.5
2019-01-01 02:10:33,Germany,132,0,Moneycard,0,Master,47,2,1,2.0
2019-01-01 02:10:49,Germany,132,0,Simplecard,0,Master,47,2,1,0.5
2019-01-01 02:11:16,Germany,132,0,Moneycard,0,Master,47,2,1,2.0
2019-01-01 02:13:13,Germany,228,0,Simplecard,0,Diners,48,2,1,0.5
2019-01-01 02:14:18,Switzerland,279,0,UK_Card,1,Master,49,2,1,1.0
2019-01-01 02:14:51,Switzerland,279,0,Simplecard,1,Master,49,2,1,0.5
2019-01-01 02:14:59,Switzerland,279,0,UK_Card,1,Master,49,2,1,1.0
2019-01-01 02:15:16,Switzerland,279,1,UK_Card,1,Master,49,2,1,3.0
2019-01-01 02:16:34,Austria,104,1,Moneycard,0,Master,50,2,1,5.0
2019-01-01 02:18:06,Switzerland,184,0,Simplecard,0,Master,51,2,1,0.5
2019-01-01 02:20:08,Austria,258,0,UK_Card,0,Diners,52,2,1,1.0
2019-01-01 02:24:07,Austria,209,1,UK_Card,0,Master,53,2,1,3.0
2019-01-01 02:25:56,Germany,260,0,UK_Card,0,Master,54,2,1,1.0
2019-01-01 02:25:58,Germany,260,0,UK_Card,0,Master,54,2,1,1.0
2019-01-01 02:26:36,Germany,260,0,UK_Card,0,Master,54,2,1,1.0
2019-01-01 02:26:40,Germany,260,0,Moneycard,0,Master,54,2,1,2.0
2019-01-01 02:28:50,Switzerland,383,0,UK_Card,0,Master,55,2,1,1.0
2019-01-01 02:30:02,Germany,109,0,Moneycard,0,Master,56,2,1,2.0
2019-01-01 02:31:15,Austria,161,0,Simplecard,0,Master,57,2,1,0.5
2019-01-01 02:33:00,Germany,127,0,Simplecard,0,Master,58,2,1,0.5
2019-01-01 02:33:24,Germany,127,0,Moneycard,0,Master,58,2,1,2.0
2019-01-01 02:33:39,Germany,127,0,Moneycard,0,Master,58,2,1,2.0
2019-01-01 02:36:48,Germany,233,1,Simplecard,1,Visa,59,2,1,1.0
2019-01-01 02:38:38,Germany,129,0,UK_Card,1,Master,60,2,1,1.0
2019-01-01 02:39:30,Germany,129,0,Goldcard,1,Master,60,2,1,5.0
2019-01-01 02:39:31,Germany,129,0,UK_Card,1,Master,60,2,1,1.0
2019-01-01 02:40:04,Germany,129,1,UK_Card,1,Master,60,2,1,3.0
2019-01-01 02:43:05,Germany,243,0,Simplecard,0,Master,61,2,1,0.5
2019-01-01 02:43:06,Germany,243,0,Moneycard,0,Master,61,2,1,2.0
2019-01-01 02:43:11,Germany,243,1,UK_Card,0,Master,61,2,1,3.0
2019-01-01 02:47:14,Switzerland,131,0,UK_Card,0,Master,62,2,1,1.0
2019-01-01 02:47:19,Switzerland,131,1,UK_Card,0,Master,62,2,1,3.0
2019-01-01 02:48:32,Germany,225,0,UK_Card,0,Master,63,2,1,1.0
2019-01-01 02:49:50,Switzerland,246,0,Simplecard,0,Diners,64,2,1,0.5
2019-01-01 02:55:25,Germany,126,1,UK_Card,1,Diners,65,2,1,3.0
2019-01-01 02:56:37,Germany,82,0,UK_Card,1,Master,66,2,1,1.0
2019-01-01 02:57:03,Germany,82,0,UK_Card,1,Master,66,2,1,1.0
2019-01-01 02:57:45,Germany,82,0,UK_Card,1,Master,66,2,1,1.0
